,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
149361,CMR,,,CM003003,Kadey,,,Final HRP caseload,ALL,total,,70058.0,56047.0,,,,All Sectors
149374,CMR,,,CM003004,Lom-et-Djerem,,,Final HRP caseload,ALL,total,,92838.0,74270.0,,,,All Sectors
149389,CMR,CM004,Extrême-Nord,,,,,Final HRP caseload,ALL,total,,1472095.0,961006.0,,,,All Sectors
149469,CMR,,,CM004001,Diamare,,,Final HRP caseload,ALL,total,,61901.0,34640.0,,,,All Sectors
149534,CMR,,,CM004002,Logone-et-Chari,,,Final HRP caseload,ALL,total,,371404.0,251667.0,,,,All Sectors
149610,CMR,,,CM004003,Mayo-Danay,,,Final HRP caseload,ALL,total,,209087.0,139452.0,,,,All Sectors
149682,CMR,,,CM004004,Mayo-Kani,,,Final HRP caseload,ALL,total,,134333.0,49260.0,,,,All Sectors
149748,CMR,,,CM004005,Mayo-Sava,,,Final HRP caseload,ALL,total,,242111.0,203907.0,,,,All Sectors
149824,CMR,,,CM004006,Mayo-Tsanaga,,,Final HRP caseload,ALL,total,,453259.0,282080.0,,,,All Sectors
149900,CMR,CM005,Littoral,,,,,Final HRP caseload,ALL,total,,279627.0,18978.0,,,,All Sectors
149963,CMR,,,CM005001,Moungo,,,Final HRP caseload,ALL,total,,71018.0,,,,,All Sectors
150021,CMR,,,CM005002,Nkam,,,Final HRP caseload,ALL,total,,14164.0,,,,,All Sectors
150073,CMR,,,CM005003,Sanaga-Maritime,,,Final HRP caseload,ALL,total,,14919.0,,,,,All Sectors
150125,CMR,,,CM005004,Wouri,,,Final HRP caseload,ALL,total,,179526.0,18978.0,,,,All Sectors
150187,CMR,CM006,Nord,,,,,Final HRP caseload,ALL,total,,39499.0,31598.0,,,,All Sectors
150200,CMR,,,CM006001,Benoue,,,Final HRP caseload,ALL,total,,2945.0,2356.0,,,,All Sectors
150221,CMR,,,CM006004,Mayo-Rey,,,Final HRP caseload,ALL,total,,36554.0,29242.0,,,,All Sectors
150236,CMR,CM007,Nord-Ouest,,,,,Final HRP caseload,ALL,total,,637898.0,499077.0,,,,All Sectors
150311,CMR,,,CM007001,Boyo,,,Final HRP caseload,ALL,total,,37810.0,31376.0,,,,All Sectors
150382,CMR,,,CM007002,Bui,,,Final HRP caseload,ALL,total,,107327.0,83564.0,,,,All Sectors
150453,CMR,,,CM007003,Donga-Mantung,,,Final HRP caseload,ALL,total,,108432.0,102994.0,,,,All Sectors
150525,CMR,,,CM007004,Menchum,,,Final HRP caseload,ALL,total,,87990.0,64113.0,,,,All Sectors
150596,CMR,,,CM007005,Mezam,,,Final HRP caseload,ALL,total,,178410.0,128817.0,,,,All Sectors
150666,CMR,,,CM007006,Momo,,,Final HRP caseload,ALL,total,,51451.0,39448.0,,,,All Sectors
150738,CMR,,,CM007007,Ngo-Ketunjia,,,Final HRP caseload,ALL,total,,66478.0,48765.0,,,,All Sectors
150809,CMR,CM008,Ouest,,,,,Final HRP caseload,ALL,total,,192090.0,,,,,All Sectors
150867,CMR,,,CM008001,Bamboutos,,,Final HRP caseload,ALL,total,,29654.0,,,,,All Sectors
150919,CMR,,,CM008002,Haut-Nkam,,,Final HRP caseload,ALL,total,,7809.0,,,,,All Sectors
150972,CMR,,,CM008003,Hauts-Plateaux,,,Final HRP caseload,ALL,total,,8674.0,,,,,All Sectors
151024,CMR,,,CM008004,Koung-Khi,,,Final HRP caseload,ALL,total,,4303.0,,,,,All Sectors
151076,CMR,,,CM008005,Menoua,,,Final HRP caseload,ALL,total,,31509.0,,,,,All Sectors
